Rank,Country,Medals,Continent
1,Norway,37,Europe
2,Russian Federation,32,Europe and Asia
3,Germany,27,Europe
4,Canada,26,North America
5,United States,25,North America
6,Sweden,18,Europe
7,Austria,18,Europe
8,Japan,18,Asia
9,Italy,17,Europe
10,Netherlands,17,Europe
11,China,15,Asia
12,Switzerland,14,Europe
13,France,14,Europe
14,South Korea,9,Asia
15,Finland,8,Europe
16,Slovenia,7,Europe
17,Australia,4,Oceania
18,Hungary,3,Europe
19,New Zealand,3,Oceania
20,Great Britain,2,Europe
21,Czech Republic,2,Europe
22,Belgium,2,Europe
23,Slovakia,2,Europe
24,Belarus,2,Europe
25,Ukraine,1,Europe
26,Spain,1,Europe
27,Estonia,1,Europe
28,Poland,1,Europe
29,Latvia,1,Europe
